Name,Address,Rating,Distance,Latitude,Longitude
Earl's,"601 King Street W Toronto, ON M5V 1M5 Canada ",4.5,1441.7504572545545,43.6568254,-79.3966159
Bread & Bowl,"2 Murray Street Toronto, ON M5G 1X5 Canada ",3.7,482.20345028351574,43.6568254,-79.3966159
Fresca Pizza & Pasta,"302 College Street Toronto, ON M5T 1R9 Canada ",4.0,426.24258637750455,43.6568254,-79.3966159
Carolina,"772 Dundas Street W Toronto, ON M6J 1V1 Canada ",4.2,1020.577766289787,43.6568254,-79.3966159
Par-Tee Pong,"26 Duncan St 2nd Floor Toronto, ON M5V 2B8 Canada ",5.0,1097.0862262595028,43.6568254,-79.3966159
Pizzeria Via Mercanti,"188 Augusta Avenue Toronto, ON M5T 1M1 Canada ",3.7,529.2862145406572,43.6568254,-79.3966159
B Town Pizza,"13 Elm Street Toronto, ON M5G 1H1 Canada ",4.5,1152.4974837907007,43.6568254,-79.3966159
Bridgette Bar,"423 Wellington Street W Toronto, ON M5V 1E7 Canada ",4.1,1486.199567302541,43.6568254,-79.3966159
Pizza Karachi,"465 Queen Street W Toronto, ON M5V 2A9 Canada ",5.0,923.0630004294165,43.6568254,-79.3966159
Frank Ranalli's Pizza & Italian Beef,"185 Baldwin Street Toronto, ON M5T 1M1 Canada ",4.7,426.6508780811499,43.6568254,-79.3966159
Fusaro's Kitchen,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.1,974.1397373059334,43.6568254,-79.3966159
Eataly Yorkville,"55 Bloor Street W Manulife Centre Toronto, ON M4W 1A6 Canada ",3.5,1535.3675233792028,43.6568254,-79.3966159
Burning Pizza,"615 Queen Street W Toronto, ON M5V 2B7 Canada ",5.0,1154.867495128914,43.6568254,-79.3966159
Maker Pizza,"59 Cameron Street Toronto, ON M5T 2H1 Canada ",3.8,724.721722921816,43.6568254,-79.3966159
The SAJ,"199 College Street Toronto, ON M5T 1P9 Canada ",3.7,251.77225917561216,43.6568254,-79.3966159
The Annex Commons,"296 Brunswick Ave Toronto, ON M5S 2M7 Canada ",4.4,1311.3256912701545,43.6568254,-79.3966159
PI CO.,"130 Spadina Avenue 2B Toronto, ON M5V 1X9 Canada ",4.1,1050.9689231173134,43.6568254,-79.3966159
Pala 148,"148 Cumberland Street Toronto, ON M5R 1A8 Canada ",5.0,1491.8881399251595,43.6568254,-79.3966159
Raffaella,"296 Brunswick Avenue Toronto, ON M5S 1X9 Canada ",4.0,1301.4752983284977,43.6568254,-79.3966159
Scaddabush,"200 Front St Unit #G001 Toronto, ON M5V 3J1 Canada ",3.7,1576.177856655385,43.6568254,-79.3966159
DoughBox,"40 University Avenue Unit 7 Toronto, ON M5J 1T1 Canada ",4.7,1556.6227692994814,43.6568254,-79.3966159
